Year,Tournament,Series Number,Course,Hole Number,Hole Type,Sponsor,Amount,Push,Ace,Winner,Player 1,Player 2,Player 3,Player 4,Host,Ace Pot
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,Info,Info,,,,,,Kevin Jones,Gregg Barsby,Emerson Keith,Nathan Queen,Luke Humphries,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,1,Skin,OTB Discs,100,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,2,Skin,OTB Discs,200,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,3,Skin,Dynamic Discs Carrollton,300,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,4,Skin,Harpoon Larry,400,0,0,Gregg Barsby,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,4,Longest Drive,Harpoon Larry,50,0,0,Kevin Jones,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,5,Skin,Ideal Discs,100,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,6,Skin,OTB Discs,200,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,7,Skin,DSDGA,300,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,8,Skin,Tree Love DG,400,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,8,Longest Drive,Tree Love DG,50,0,0,Kevin Jones,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,9,Skin,Whale Sacs,500,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,10,Skin,The High Energy Tour,600,0,0,Kevin Jones,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,11,Skin,Ideal Discs,100,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,12,Skin,Birdtown Flooring,200,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,13,Skin,Dynamic Discs Carrollton,300,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,14,Skin,OTB Discs,400,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,14,Longest Drive,OTB Discs,50,0,0,Gregg Barsby,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,15,Skin,Tree Love DG,500,0,0,Emerson Keith,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,16,Skin,Ideal Discs,100,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,17,Skin,Millennium Golf Discs,200,1,0,,,,,,,
2020,The Rumble At The Ridge,#1,Persimmon Ridge DGC,18,Skin,Luke Humphries,300,0,0,Nathan Queen,,,,,,
2020,The Preserve Championship,#2,The Preserve,Info,Info,,,,,,Kevin Jones,James Conrad,Emerson Keith,Gregg Barsby,Luke Humphries,
2020,The Preserve Championship,#2,The Preserve,1,Skin,OTB Discs,50,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,2,Skin,OTB Discs,100,0,0,Kevin Jones,,,,,,
2020,The Preserve Championship,#2,The Preserve,3,Skin,OTB Discs,50,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,4,Skin,OTB Discs,100,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,5,Skin,OTB Discs,150,0,0,Kevin Jones,,,,,,
2020,The Preserve Championship,#2,The Preserve,6,Skin,OTB Discs,50,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,7,Skin,OTB Discs,100,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,8,Skin,OTB Discs,150,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,9,Skin,OTB Discs,200,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,9,CTP,Harpoon Larry,50,0,0,Kevin Jones,,,,,,
2020,The Preserve Championship,#2,The Preserve,10,Skin,OTB Discs,250,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,11,Skin,OTB Discs,300,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,12,Skin,OTB Discs,350,0,0,James Conrad,,,,,,
2020,The Preserve Championship,#2,The Preserve,13,Skin,OTB Discs,50,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,14,Skin,OTB Discs,100,0,0,Gregg Barsby,,,,,,
2020,The Preserve Championship,#2,The Preserve,14,Longest Drive,Harpoon Larry,50,0,0,James Conrad,,,,,,
2020,The Preserve Championship,#2,The Preserve,15,Skin,OTB Discs,50,0,0,James Conrad,,,,,,
2020,The Preserve Championship,#2,The Preserve,16,Skin,OTB Discs,50,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,17,Skin,OTB Discs,100,1,0,,,,,,,
2020,The Preserve Championship,#2,The Preserve,18,Skin,OTB Discs,150,0,0,Gregg Barsby,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,Info,Info,,,,,,Ricky Wysocki,Gregg Barsby,Garrett Gurthie,Nathan Queen,Colten Montgomery,
2020,Seviren Lang Memorial,#3,Severin Lang,1,Skin,OTB Discs,50,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,2,Skin,OTB Discs,100,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,3,Skin,OTB Discs,150,0,0,Gregg Barsby,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,4,Skin,OTB Discs,50,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,5,Skin,OTB Discs,100,0,0,Gregg Barsby,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,6,Skin,OTB Discs,50,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,7,Skin,OTB Discs,100,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,8,Skin,OTB Discs,150,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,9,Skin,OTB Discs,200,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,10,Skin,OTB Discs,250,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,11,Skin,OTB Discs,300,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,12,Skin,OTB Discs,350,0,0,Ricky Wysocki,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,13,Skin,OTB Discs,50,1,0,,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,14,Skin,OTB Discs,100,0,0,Ricky Wysocki,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,15,Skin,OTB Discs,50,0,0,Gregg Barsby,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,16,Skin,OTB Discs,50,0,0,Garrett Gurthie,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,17,Skin,OTB Discs,50,0,0,Garrett Gurthie,,,,,,
2020,Seviren Lang Memorial,#3,Severin Lang,18,Skin,OTB Discs,50,0,0,Ricky Wysocki,,,,,,
2020,DGLO,#4,Toboggan DGC,Info,Info,,,,,,Ezra Aderhold,Simon Lizotte,Eagle McMahon,Kevin Jones,Colten Montgomery,
2020,DGLO,#4,Toboggan DGC,1,Skin,OTB Discs,50,0,0,Eagle McMahon,,,,,,
2020,DGLO,#4,Toboggan DGC,2,Skin,OTB Discs,50,0,0,Simon Lizotte,,,,,,
2020,DGLO,#4,Toboggan DGC,3,Skin,OTB Discs,50,1,0,,,,,,,
2020,DGLO,#4,Toboggan DGC,3,Longest Drive,OTB Discs,50,0,0,Eagle McMahon,,,,,,
2020,DGLO,#4,Toboggan DGC,4,Skin,OTB Discs,100,1,0,,,,,,,
2020,DGLO,#4,Toboggan DGC,5,Skin,OTB Discs,150,1,0,,,,,,,
